country_iso3,year,source,indicator_code,indicator_short,value
ABW,1994,un,UN_83,child_dependency_ratio,40.452691680261
ABW,1994,un,UN_86,total_dependency_ratio,49.7920065252855
ABW,1994,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,16055.2877874337
ABW,1994,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1994,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1994,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1994,worldbank,SP.ADO.TFRT,adolescent_fertility,44.065
ABW,1994,worldbank,SP.DYN.TFRT.IN,tfr,2.298
ABW,1994,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.3800478100985
ABW,1995,un,UN_18,mean_age_childbearing,27.491
ABW,1995,un,UN_41,female_population_15_49,20901.0
ABW,1995,un,UN_50,population_change,2532.0
ABW,1995,un,UN_66,crude_net_migration_rate,23.473
ABW,1995,un,UN_67,median_age,30.9834111730439
ABW,1995,un,UN_83,child_dependency_ratio,39.1255462891446
ABW,1995,un,UN_86,total_dependency_ratio,48.4498587225389
ABW,1995,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,16548.7173868987
ABW,1995,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1995,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1995,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1995,worldbank,SP.ADO.TFRT,adolescent_fertility,43.239
ABW,1995,worldbank,SP.DYN.TFRT.IN,tfr,2.288
ABW,1995,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.376703433065
ABW,1996,un,UN_18,mean_age_childbearing,27.596
ABW,1996,un,UN_41,female_population_15_49,21936.0
ABW,1996,un,UN_50,population_change,2596.0
ABW,1996,un,UN_66,crude_net_migration_rate,23.101
ABW,1996,un,UN_67,median_age,31.2989938889468
ABW,1996,un,UN_83,child_dependency_ratio,37.3781735612099
ABW,1996,un,UN_86,total_dependency_ratio,46.672024070942
ABW,1996,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,16620.9545555513
ABW,1996,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1996,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1996,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1996,worldbank,SP.ADO.TFRT,adolescent_fertility,41.874
ABW,1996,worldbank,SP.DYN.TFRT.IN,tfr,2.233
ABW,1996,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.3738042700838
ABW,1997,un,UN_18,mean_age_childbearing,27.677
ABW,1997,un,UN_41,female_population_15_49,22932.5
ABW,1997,un,UN_50,population_change,2653.00000000001
ABW,1997,un,UN_66,crude_net_migration_rate,23.019
ABW,1997,un,UN_67,median_age,31.6638437179781
ABW,1997,un,UN_83,child_dependency_ratio,36.0278502110272
ABW,1997,un,UN_86,total_dependency_ratio,45.3560579585473
ABW,1997,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,17750.0095644198
ABW,1997,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
ABW,1997,worldbank,SH.XPD.CHEX.GD.ZS,health_expenditure_pct_gdp,
ABW,1997,worldbank,SL.TLF.CACT.FE.ZS,female_labor_force_participation,
ABW,1997,worldbank,SP.ADO.TFRT,adolescent_fertility,40.793
ABW,1997,worldbank,SP.DYN.TFRT.IN,tfr,2.138
ABW,1997,worldbank,SP.URB.TOTL.IN.ZS,urban_population_pct,65.3707211004889
ABW,1998,un,UN_18,mean_age_childbearing,27.638
ABW,1998,un,UN_41,female_population_15_49,23884.0
ABW,1998,un,UN_50,population_change,2687.99999999999
ABW,1998,un,UN_66,crude_net_migration_rate,23.372
ABW,1998,un,UN_67,median_age,32.0783458012199
ABW,1998,un,UN_83,child_dependency_ratio,34.9830660381423
ABW,1998,un,UN_86,total_dependency_ratio,44.3945570023871
ABW,1998,worldbank,NY.GDP.PCAP.CD,gdp_per_capita,18828.0870594071
ABW,1998,worldbank,SE.SEC.ENRR.FE,female_secondary_enrollment,
